article_number,article_title,article_content,BOOK,TITLE,CHAPTER,SECTION,SUBSECTION
137,Denial of visitation; sex offense; death of a parent,"A.  In a proceeding in which visitation of a child is being sought by a parent, if the
child was conceived through the commission of a sex offense as provided by R.S. 15:541,
the parent who committed the sex offense shall be denied visitation rights and contact with
the child.
            B.  In a proceeding in which visitation of a child is being sought by a relative by
blood or affinity, if the court determines, by a preponderance of the evidence, that the
intentional criminal conduct of the relative resulted in the death of the parent of the child, the
relative shall be denied visitation rights and contact with the child.
763, §1, eff. June 12, 2012; Acts 2023, No. 271, §2, eff. June 9, 2023.",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,3.  CHILD CUSTODY,
141,Child support; authority of court ,"In a proceeding for divorce or thereafter, the court may order either or both of the parents to provide an interim allowance or final support for a child based on the needs of the child and the ability of the parents to provide support.
The court may award an interim allowance only when a demand for final support is pending.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,4.  CHILD SUPPORT,
142,Modification or termination of child support award,"An award of child support may be modified if the circumstances of the child or of either parent materially change and shall be terminated upon proof that it has become unnecessary.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,4.  CHILD SUPPORT,
151,Proceeding for declaration of nullity of a marriage; interim incidental relief ,"In a proceeding for declaration of nullity of a marriage, a court may award a party the incidental relief afforded in a proceeding for divorce.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,5.  PROVISIONAL AND INCIDENTAL PROCEEDINGS IN ACTIONS OF NULLITY,
152,Proceeding for declaration of nullity of a marriage; final incidental relief ,"After the declaration of nullity of a marriage, a party entitled to the civil effects of marriage may seek the same relief as may a divorced spouse.
Incidental relief granted pending declaration of nullity to a party not entitled to the civil effects of marriage shall terminate upon the declaration of nullity.
Nevertheless, a party not entitled to the civil effects of marriage may be awarded custody, child support, or visitation.  The award shall not terminate as a result of the declaration of nullity.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,5.  PROVISIONAL AND INCIDENTAL PROCEEDINGS IN ACTIONS OF NULLITY,
159,Effect of divorce on community property regime ,"A judgment of divorce terminates a community property regime retroactively to the date of filing of the petition in the action in which the judgment of divorce is rendered.  The retroactive termination of the community shall be without prejudice to rights of third parties validly acquired in the interim between the filing of the petition and recordation of the judgment.
",I. OF PERSONS,V - DIVORCE,3.  EFFECTS OF DIVORCE,,
178,Definition,"Filiation is the legal relationship between a child and his parent.
",I. OF PERSONS,VII.  PARENT AND CHILD,1.  FILIATION,,
179,Establishment of filiation,"Filiation is established by proof of maternity or paternity or by adoption.
",I. OF PERSONS,VII.  PARENT AND CHILD,1.  FILIATION,,
184,Maternity,"Maternity may be established by a preponderance of the evidence that the child was born of a particular woman, except as otherwise provided by law.
",I. OF PERSONS,VII.  PARENT AND CHILD,2.  FILIATION BY PROOF OF MATERNITY OR PATERNITY,1.  PROOF OF MATERNITY,
185,Presumption of paternity of husband,"The husband of the mother is presumed to be the father of a child born during the marriage or within three hundred days from the date of the termination of the marriage.
",I. OF PERSONS,VII.  PARENT AND CHILD,2.  FILIATION BY PROOF OF MATERNITY OR PATERNITY,2.  PROOF OF PATERNITY SUB,A.  THE PRESUMPTION OF PATERNITY OF HUSBAND; DISAVOWAL OF PATERNITY; CONTESTATION; ESTABLISHMENT OF PATERNITY
186,Presumption if child is born after divorce or after death of husband; effect of disavowal,"If a child is born within three hundred days from the day of the termination of a marriage and his mother has married again before his birth, the first husband is presumed to be the father.
If the first husband, or his successor, obtains a judgment of disavowal of paternity of the child, the second husband is presumed to be the father.  The second husband, or his successor, may disavow paternity if he institutes a disavowal action within a peremptive period of one year from the day that the judgment of disavowal obtained by the first husband is final and definitive.

Sarah was married to Mark, and their marriage was officially terminated on January 1, 2023. Sarah then married Tom on February 1, 2023. She gave birth to a child, named Emily, on October 1, 2023. Mark obtains a judgment of disavowal of paternity on January 1, 2024, stating that he is not Emily's father. After Mark successfully obtains a judgment of disavowal on January 1, 2024, who is then presumed to be Emily's father?",I. OF PERSONS,VII.  PARENT AND CHILD,2.  FILIATION BY PROOF OF MATERNITY OR PATERNITY,2.  PROOF OF PATERNITY SUB,A.  THE PRESUMPTION OF PATERNITY OF HUSBAND; DISAVOWAL OF PATERNITY; CONTESTATION; ESTABLISHMENT OF PATERNITY
187,Disavowal action; proof,"The husband may disavow paternity of the child by clear and convincing evidence that he is not the father.  The testimony of the husband shall be corroborated by other evidence.
",I. OF PERSONS,VII.  PARENT AND CHILD,2.  FILIATION BY PROOF OF MATERNITY OR PATERNITY,2.  PROOF OF PATERNITY SUB,A.  THE PRESUMPTION OF PATERNITY OF HUSBAND; DISAVOWAL OF PATERNITY; CONTESTATION; ESTABLISHMENT OF PATERNITY
188,Disavowal precluded in case of assisted conception,"The husband of the mother may not disavow a child born to his wife as a result of an assisted conception to which he consented.
",I. OF PERSONS,VII.  PARENT AND CHILD,2.  FILIATION BY PROOF OF MATERNITY OR PATERNITY,2.  PROOF OF PATERNITY SUB,A.  THE PRESUMPTION OF PATERNITY OF HUSBAND; DISAVOWAL OF PATERNITY; CONTESTATION; ESTABLISHMENT OF PATERNITY
189,Time limit for disavowal by the husband,"The action for disavowal of paternity is subject to a liberative prescription of one
year.  This prescription commences to run from the day of the birth of the child, or the day
the husband knew or should have known that he may not be the biological father of the child,
whichever occurs later.
            Nevertheless, if the husband lived separate and apart from the mother continuously
during the three hundred days immediately preceding the birth of the child, this prescription
does not commence to run until the husband is notified in writing that a party in interest has
asserted that the husband is the father of the child.
§1, eff. June 29, 2005; Acts 2016, No. 309, §1.",I. OF PERSONS,VII.  PARENT AND CHILD,2.  FILIATION BY PROOF OF MATERNITY OR PATERNITY,2.  PROOF OF PATERNITY SUB,A.  THE PRESUMPTION OF PATERNITY OF HUSBAND; DISAVOWAL OF PATERNITY; CONTESTATION; ESTABLISHMENT OF PATERNITY
